Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-29T12:13:10,66337,2727,28993
Guangdong,Mainland China,2020-02-29T15:33:03,1349,7,983
Henan,Mainland China,2020-02-29T12:43:05,1272,21,1170
Zhejiang,Mainland China,2020-02-29T09:13:10,1205,1,1016
Hunan,Mainland China,2020-02-29T15:33:03,1018,4,846
Anhui,Mainland China,2020-02-29T05:03:13,990,6,868
Jiangxi,Mainland China,2020-02-29T01:23:07,935,1,811
Shandong,Mainland China,2020-02-29T15:33:03,756,6,421
Jiangsu,Mainland China,2020-02-29T07:23:11,631,0,523
Chongqing,Mainland China,2020-02-29T23:13:06,576,6,438
Sichuan,Mainland China,2020-02-29T12:03:07,538,3,351
Heilongjiang,Mainland China,2020-02-29T12:03:07,480,13,301
Beijing,Mainland China,2020-02-29T03:33:02,411,8,271
Shanghai,Mainland China,2020-02-29T06:23:03,337,3,287
Hebei,Mainland China,2020-02-29T15:33:03,318,6,282
Fujian,Mainland China,2020-02-29T15:33:03,296,1,243
Guangxi,Mainland China,2020-02-29T12:03:07,252,2,176
Shaanxi,Mainland China,2020-02-29T09:03:06,245,1,207
Yunnan,Mainland China,2020-02-29T05:03:13,174,2,157
Hainan,Mainland China,2020-02-29T23:43:02,168,5,148
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112
Tianjin,Mainland China,2020-02-29T12:03:07,136,3,109
Shanxi,Mainland China,2020-02-29T23:13:06,133,0,114
Liaoning,Mainland China,2020-02-29T15:33:03,121,1,96
Jilin,Mainland China,2020-02-29T09:13:10,93,1,75
Gansu,Mainland China,2020-02-28T02:33:02,91,2,82
Xinjiang,Mainland China,2020-02-29T12:03:07,76,3,62
Inner Mongolia,Mainland China,2020-02-29T09:03:06,75,0,49
Ningxia,Mainland China,2020-02-29T05:53:02,73,0,69
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
