Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-15T23:13:05,56249,1596,5623
Guangdong,Mainland China,2020-02-15T14:03:04,1294,2,410
Henan,Mainland China,2020-02-15T12:13:08,1212,13,391
Zhejiang,Mainland China,2020-02-15T11:23:17,1162,0,428
Hunan,Mainland China,2020-02-15T13:03:04,1001,2,425
Anhui,Mainland China,2020-02-15T12:13:08,950,6,221
Jiangxi,Mainland China,2020-02-15T01:33:02,913,1,210
Jiangsu,Mainland China,2020-02-15T12:13:08,604,0,186
Chongqing,Mainland China,2020-02-15T23:23:07,544,5,184
Shandong,Mainland China,2020-02-15T11:23:17,532,2,156
Sichuan,Mainland China,2020-02-15T08:43:03,470,1,119
Heilongjiang,Mainland China,2020-02-15T11:43:01,425,11,68
Beijing,Mainland China,2020-02-15T09:53:01,375,4,98
Shanghai,Mainland China,2020-02-15T03:13:06,326,1,124
Hebei,Mainland China,2020-02-15T13:03:04,291,3,101
Fujian,Mainland China,2020-02-15T13:03:04,285,0,71
Guangxi,Mainland China,2020-02-15T06:33:01,235,2,44
Shaanxi,Mainland China,2020-02-15T12:13:08,232,0,60
Yunnan,Mainland China,2020-02-15T06:33:01,168,0,42
Hainan,Mainland China,2020-02-15T11:23:17,162,4,39
Guizhou,Mainland China,2020-02-15T14:53:04,143,1,41
Shanxi,Mainland China,2020-02-15T23:13:05,128,0,46
Tianjin,Mainland China,2020-02-15T13:43:01,122,3,37
Liaoning,Mainland China,2020-02-15T09:53:01,119,1,31
Gansu,Mainland China,2020-02-15T12:13:08,90,2,49
Jilin,Mainland China,2020-02-15T12:13:08,88,1,26
Ningxia,Mainland China,2020-02-15T08:43:03,70,0,33
Xinjiang,Mainland China,2020-02-15T09:53:01,70,1,10
Inner Mongolia,Mainland China,2020-02-15T14:03:04,68,0,7
Qinghai,Mainland China,2020-02-15T08:43:03,18,0,13
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
